owner,segment_name,size_in_mb,num_rows,date
LYERP,BMS_MV_STATUS_DOC,0,3933.0,20240821
LYERP,BMS_GROUP_SA_DOC,3,12566.0,20240821
LYERP,ZX_116056_DEVICEPACKAGE,10,109106.0,20240821
LYERP,ZX_116060,1,5156.0,20240821
LYERP,BMS_SU_CON_DOC,626,2970661.0,20240821
LYERP,BMS_ST_SUM_QTY,1090,36620477.0,20240821
LYERP,ZZLY_ZY_GOODSID,0,1524.0,20240821
LYERP,PM4_PT_INVINFO,0,90.0,20240821
LYERP,LY_ZX_SUPPLYER_TO_CONNECT,0,5758.0,20240821
LYERP,LY_BY_CUSTOMER,0,157.0,20240821
LYERP,GAO_TM4,0,5.0,20240821
LYERP,BMS_ST_IO_DTL_TMP,12,103314.0,20240821
LYERP,ZX_116034,0,0.0,20240821
LYERP,BMS_SUSET_IMP_TMP_BAK,0,1232.0,20240821
LYERP,T_108140,2,29543.0,20240821
LYERP,RESA_PROM_LIMITQTY,2,40560.0,20240821
LYERP,RESA_GROUP_REQ_DTL,0,3517.0,20240821
LYERP,PUB_SUPPLYER,5,17676.0,20240821
LYERP,PUB_STQTY_IMP_TMP,0,624.0,20240821
